<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.36,14.09,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,56.72 ± 1.41 / 68.68 ± 1.48,78.04 ± 1.14 / 61.03 ± 2.71,37.06 ± 1.90 / 63.97 ± 2.56,62.57 ± 9.04 / 43.87 ± 8.76,30.91 ± 1.68 / 31.50 ± 1.75,42.70 ± 1.30 / 56.96 ± 0.98,43.13 ± 1.89 / 57.23 ± 1.43,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.37,N/A,12187325040.0,262144.0,?,✓,✗,(✓),✓,50.16 ± 2.66 / 64.68 ± 3.32,64.74 ± 1.71 / 53.33 ± 1.51,35.23 ± 4.17 / 60.53 ± 3.80,71.09 ± 5.40 / 55.83 ± 4.58,29.82 ± 1.49 / 30.14 ± 1.55,56.25 ± 1.04 / 67.08 ± 0.82,45.11 ± 2.58 / 57.72 ± 2.24,16.5.0.dev0,15.5.0,16.5.0.dev0,15.5.0,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.38,15.71,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,56.72 ± 1.24 / 66.78 ± 1.14,66.34 ± 2.52 / 46.01 ± 1.98,0.00 ± 0.00 / 33.74 ± 0.46,72.52 ± 1.04 / 53.75 ± 0.91,36.09 ± 0.28 / 40.50 ± 0.25,61.30 ± 1.32 / 71.09 ± 0.97,56.62 ± 1.24 / 67.23 ± 0.93,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,2.42,3.33,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,53.47 ± 0.89 / 67.96 ± 0.74,62.08 ± 3.12 / 52.19 ± 2.24,0.00 ± 0.00 / 32.87 ± 0.49,74.34 ± 0.59 / 53.48 ± 0.99,38.66 ± 0.16 / 42.45 ± 0.17,42.32 ± 0.92 / 56.80 ± 0.73,62.26 ± 0.95 / 71.48 ± 0.69,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,2.43,?,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,53.47 ± 1.12 / 64.52 ± 1.02,50.38 ± 0.94 / 37.14 ± 0.69,47.66 ± 2.15 / 73.45 ± 0.99,55.86 ± 1.09 / 40.62 ± 1.04,32.01 ± 0.57 / 37.61 ± 0.58,63.23 ± 0.97 / 72.19 ± 0.72,33.61 ± 0.86 / 49.65 ± 0.68,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.46,0.68,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,45.18 ± 0.97 / 47.57 ± 0.52,67.95 ± 1.73 / 54.28 ± 2.10,24.92 ± 1.51 / 61.73 ± 1.10,63.90 ± 0.90 / 33.34 ± 2.37,37.70 ± 0.66 / 39.19 ± 0.97,40.63 ± 1.35 / 55.43 ± 1.02,41.66 ± 1.57 / 56.17 ± 1.21,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,16.15.0.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.46,N/A,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,43.79 ± 3.52 / 59.13 ± 3.34,66.98 ± 2.28 / 54.15 ± 2.44,43.58 ± 6.18 / 67.01 ± 5.46,71.54 ± 3.09 / 55.46 ± 3.05,29.93 ± 2.04 / 30.18 ± 2.13,46.00 ± 1.02 / 59.21 ± 0.83,29.79 ± 2.12 / 45.40 ± 2.06,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,2.49,0.08,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,40.67 ± 2.68 / 56.24 ± 1.71,48.33 ± 3.07 / 36.30 ± 2.96,40.14 ± 6.23 / 68.49 ± 3.57,69.26 ± 1.44 / 48.66 ± 1.22,37.27 ± 0.38 / 40.85 ± 0.32,43.03 ± 2.37 / 57.07 ± 1.81,34.35 ± 4.49 / 50.43 ± 3.11,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.52,2.2,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,57.29 ± 1.89 / 69.03 ± 1.96,65.93 ± 1.11 / 48.09 ± 1.75,44.74 ± 1.27 / 71.06 ± 0.74,19.61 ± 3.32 / 3.97 ± 2.44,38.01 ± 0.20 / 40.64 ± 0.22,35.88 ± 0.87 / 51.45 ± 0.68,37.06 ± 1.61 / 52.07 ± 1.51,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.52,N/A,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,49.99 ± 2.62 / 65.75 ± 2.51,61.22 ± 4.62 / 52.44 ± 2.68,38.41 ± 4.92 / 67.20 ± 3.05,70.23 ± 2.13 / 52.33 ± 3.10,32.91 ± 0.92 / 33.84 ± 0.98,37.13 ± 1.17 / 52.51 ± 0.90,26.33 ± 1.32 / 43.82 ± 1.26,16.5.0.dev0,15.6.1.dev0,16.5.0.dev0,15.6.1.dev0,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think (val)</a>,🤔,2.53,?,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,52.17 ± 1.08 / 66.97 ± 0.79,59.66 ± 2.02 / 45.62 ± 1.53,26.38 ± 1.99 / 56.24 ± 1.28,68.23 ± 0.41 / 49.50 ± 0.76,33.34 ± 0.74 / 37.48 ± 0.78,54.19 ± 2.09 / 65.31 ± 1.54,25.62 ± 1.23 / 43.91 ± 0.99,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.54,0.33,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,51.11 ± 2.29 / 63.63 ± 1.78,48.20 ± 3.12 / 31.77 ± 1.99,42.53 ± 1.19 / 70.38 ± 0.71,60.07 ± 1.40 / 43.62 ± 1.39,37.41 ± 0.33 / 41.30 ± 0.25,30.57 ± 1.17 / 47.60 ± 1.05,29.23 ± 2.03 / 45.70 ± 1.97,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,2.57,0.11,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,46.21 ± 3.24 / 62.45 ± 4.53,56.70 ± 2.78 / 47.66 ± 1.46,27.40 ± 2.58 / 63.07 ± 1.49,67.48 ± 1.31 / 50.88 ± 1.65,36.76 ± 1.46 / 39.39 ± 1.62,38.30 ± 0.96 / 53.59 ± 0.74,30.65 ± 1.91 / 46.08 ± 1.67,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.14.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.59,N/A,32233522176.0,100278.0,65536.0,✓,✗,(✓),✓,32.07 ± 2.86 / 37.36 ± 2.34,64.48 ± 4.02 / 55.77 ± 3.34,25.22 ± 5.01 / 57.72 ± 5.57,76.56 ± 0.97 / 57.79 ± 2.73,33.35 ± 0.76 / 34.36 ± 0.85,43.35 ± 1.13 / 56.89 ± 0.88,37.97 ± 3.16 / 50.92 ± 2.71,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.59,N/A,3849090048.0,131072.0,8192.0,✓,✗,(✓),✓,45.24 ± 2.23 / 61.16 ± 1.52,55.30 ± 3.26 / 48.48 ± 2.42,22.03 ± 4.52 / 48.75 ± 3.95,74.27 ± 2.24 / 56.57 ± 1.73,31.32 ± 0.91 / 32.36 ± 0.95,54.27 ± 1.22 / 65.90 ± 0.93,35.64 ± 1.88 / 49.77 ± 1.71,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.62,5.35,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,51.42 ± 1.26 / 64.37 ± 1.20,61.80 ± 3.15 / 54.75 ± 2.06,38.85 ± 1.79 / 66.61 ± 1.44,67.03 ± 2.15 / 48.23 ± 3.03,30.48 ± 1.40 / 30.86 ± 1.56,34.83 ± 1.47 / 51.08 ± 1.09,26.59 ± 2.15 / 44.86 ± 1.64,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-4-31B'>google/gemma-4-31B (val)</a>,🧠,2.63,N/A,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,47.91 ± 1.69 / 63.58 ± 1.10,66.80 ± 2.16 / 52.83 ± 1.67,36.60 ± 3.25 / 67.38 ± 1.85,67.85 ± 2.87 / 46.81 ± 1.99,25.18 ± 0.82 / 25.62 ± 0.87,51.46 ± 1.73 / 63.75 ± 1.30,23.70 ± 3.93 / 42.93 ± 2.90,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🧠,2.67,N/A,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,19.44 ± 2.26 / 27.08 ± 1.57,67.79 ± 2.01 / 58.62 ± 1.90,48.70 ± 2.24 / 73.76 ± 1.20,78.05 ± 0.80 / 58.26 ± 1.12,27.14 ± 0.96 / 27.48 ± 0.97,51.10 ± 1.13 / 62.66 ± 0.90,24.51 ± 1.32 / 38.12 ± 1.24,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,2.67,0.06,9152319488.0,128000.0,4096.0,✗,✗,(✓),✓,54.19 ± 2.08 / 68.45 ± 1.68,37.00 ± 1.27 / 24.76 ± 1.17,19.62 ± 2.43 / 58.70 ± 1.21,71.02 ± 2.01 / 55.25 ± 2.52,37.92 ± 0.20 / 42.23 ± 0.15,33.39 ± 1.29 / 49.91 ± 0.95,28.94 ± 3.24 / 45.61 ± 2.78,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,16.15.0.dev0,15.3.1,15.3.1
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,2.68,0.89,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,46.46 ± 2.04 / 53.95 ± 2.91,55.33 ± 5.11 / 39.54 ± 3.42,6.96 ± 5.97 / 38.66 ± 2.36,74.89 ± 0.95 / 54.11 ± 1.45,38.32 ± 0.30 / 41.30 ± 0.37,33.47 ± 2.88 / 49.69 ± 2.26,29.32 ± 2.61 / 45.82 ± 2.04,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (val)</a>,📝,2.71,12.52,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,45.92 ± 2.66 / 52.75 ± 3.04,54.47 ± 4.80 / 39.14 ± 3.39,8.01 ± 5.78 / 38.65 ± 2.22,74.62 ± 1.16 / 54.11 ± 1.07,38.14 ± 0.34 / 41.02 ± 0.42,32.55 ± 2.90 / 48.95 ± 2.17,28.27 ± 3.14 / 44.96 ± 2.63,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,2.77,N/A,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,46.89 ± 2.79 / 57.14 ± 3.63,52.42 ± 3.69 / 44.00 ± 2.93,27.51 ± 2.41 / 62.12 ± 1.57,65.17 ± 3.12 / 50.03 ± 2.49,32.92 ± 1.45 / 34.35 ± 1.66,33.33 ± 0.68 / 49.09 ± 0.68,20.64 ± 2.84 / 38.86 ± 2.32,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking</a>,📝,2.79,3.22,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,48.46 ± 2.08 / 65.51 ± 1.29,52.44 ± 1.09 / 44.26 ± 1.12,38.99 ± 1.51 / 69.33 ± 0.77,16.99 ± 0.58 / 1.14 ± 0.61,37.84 ± 0.22 / 41.79 ± 0.20,31.44 ± 1.15 / 48.42 ± 0.87,34.89 ± 2.56 / 50.64 ± 2.15,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,2.80,N/A,7298011136.0,100278.0,65536.0,✓,✗,(✓),✓,50.06 ± 2.52 / 66.07 ± 1.92,53.70 ± 2.42 / 40.22 ± 2.22,21.50 ± 3.14 / 51.52 ± 4.37,68.98 ± 0.70 / 52.55 ± 1.31,33.15 ± 1.07 / 35.28 ± 1.02,28.50 ± 1.25 / 46.33 ± 0.95,19.29 ± 2.15 / 39.19 ± 1.73,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.83,N/A,9152319488.0,128000.0,4096.0,✓,✗,(✓),✓,54.63 ± 2.64 / 68.75 ± 2.26,53.83 ± 3.45 / 44.50 ± 2.62,17.98 ± 2.28 / 57.02 ± 1.68,73.46 ± 1.27 / 57.80 ± 1.86,27.38 ± 2.18 / 27.24 ± 2.24,30.45 ± 1.52 / 47.53 ± 1.22,21.45 ± 1.74 / 38.73 ± 1.60,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,16.15.0.dev0,15.2.0.dev0,15.2.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,2.88,4.03,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,40.22 ± 1.21 / 44.80 ± 0.76,57.39 ± 2.34 / 40.33 ± 2.30,12.94 ± 1.93 / 44.72 ± 2.23,60.11 ± 0.91 / 34.87 ± 1.20,36.93 ± 0.33 / 38.67 ± 0.48,26.56 ± 0.72 / 44.16 ± 0.52,22.89 ± 1.46 / 41.67 ± 1.26,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,16.15.0.dev0,15.2.0.dev0,15.2.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,2.91,0.18,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,50.25 ± 1.49 / 65.86 ± 1.16,44.85 ± 2.01 / 37.93 ± 1.86,29.13 ± 1.43 / 61.84 ± 0.76,53.48 ± 4.36 / 35.11 ± 4.22,35.31 ± 0.27 / 38.28 ± 0.39,17.02 ± 0.79 / 37.63 ± 0.51,16.22 ± 1.40 / 37.17 ± 1.05,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,2.94,8.07,3606752256.0,128256.0,131072.0,✓,✗,(✓),✗,51.79 ± 1.94 / 66.99 ± 1.65,55.85 ± 1.48 / 43.75 ± 2.07,27.76 ± 3.25 / 57.23 ± 4.20,6.86 ± 1.09 / 0.00 ± 0.00,37.78 ± 0.15 / 40.05 ± 0.26,29.05 ± 1.53 / 46.14 ± 1.34,29.88 ± 2.08 / 46.25 ± 2.08,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.96,N/A,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,42.48 ± 1.78 / 46.94 ± 1.38,44.62 ± 3.13 / 40.75 ± 1.75,27.64 ± 3.58 / 61.87 ± 2.89,67.49 ± 2.39 / 49.51 ± 2.18,28.85 ± 1.94 / 29.24 ± 2.03,36.27 ± 0.86 / 51.97 ± 0.62,18.31 ± 2.35 / 38.11 ± 1.77,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B (val)</a>,📝,2.97,11.4,2614341888.0,256000.0,8192.0,✗,✗,(✓),✗,45.93 ± 2.94 / 58.02 ± 3.04,32.46 ± 2.31 / 27.37 ± 2.05,18.30 ± 4.72 / 56.07 ± 3.10,62.58 ± 2.33 / 45.39 ± 1.71,38.07 ± 0.24 / 41.98 ± 0.24,20.64 ± 1.60 / 39.34 ± 1.27,16.15 ± 4.65 / 35.23 ± 3.26,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,2.98,1.48,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,50.06 ± 1.62 / 65.31 ± 1.28,44.54 ± 2.10 / 36.43 ± 1.87,28.09 ± 1.14 / 60.98 ± 0.73,42.52 ± 7.40 / 23.76 ± 6.88,34.98 ± 0.23 / 38.31 ± 0.33,17.58 ± 0.95 / 38.07 ± 0.73,15.10 ± 1.26 / 36.36 ± 0.92,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8 (val)</a>,🤔,2.98,?,2680100864.0,131072.0,262144.0,✓,✗,✗,✓,45.36 ± 1.42 / 63.08 ± 0.93,58.12 ± 2.29 / 50.03 ± 1.78,35.00 ± 3.85 / 66.31 ± 1.75,20.87 ± 0.92 / 13.93 ± 0.51,26.42 ± 1.01 / 28.80 ± 1.13,54.22 ± 1.91 / 65.20 ± 1.49,25.94 ± 1.20 / 44.30 ± 0.98,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,2.99,N/A,7241732096.0,32000.0,4096.0,✓,✗,(✓),✗,52.47 ± 2.70 / 63.94 ± 2.88,55.96 ± 3.99 / 49.77 ± 3.27,10.34 ± 2.37 / 54.63 ± 1.27,70.14 ± 1.02 / 53.33 ± 2.60,29.70 ± 1.54 / 29.89 ± 1.63,22.46 ± 0.83 / 39.82 ± 0.84,10.49 ± 1.62 / 32.13 ± 1.33,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,16.15.0.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (val)</a>,📝,3.00,0.33,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,42.85 ± 1.37 / 55.83 ± 1.45,44.46 ± 1.62 / 36.48 ± 1.14,17.09 ± 2.02 / 56.32 ± 1.36,61.54 ± 0.58 / 42.11 ± 0.92,35.95 ± 0.20 / 40.17 ± 0.22,21.11 ± 0.75 / 39.10 ± 0.51,11.87 ± 1.12 / 33.28 ± 0.99,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B'>google/gemma-4-26B-A4B (val)</a>,🧠,3.02,N/A,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,39.92 ± 3.01 / 58.75 ± 2.30,51.38 ± 1.94 / 42.83 ± 1.57,21.97 ± 3.21 / 59.22 ± 2.08,67.20 ± 2.94 / 45.26 ± 2.23,25.40 ± 0.82 / 25.87 ± 0.83,42.38 ± 3.28 / 56.45 ± 2.58,16.11 ± 2.40 / 37.03 ± 1.88,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/CohereLabs/tiny-aya-base'>CohereLabs/tiny-aya-base (val)</a>,🧠,3.05,N/A,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,38.96 ± 6.36 / 54.49 ± 4.86,29.91 ± 7.50 / 29.99 ± 5.74,3.96 ± 5.11 / 40.54 ± 3.22,74.68 ± 1.54 / 57.49 ± 1.20,35.07 ± 0.98 / 36.50 ± 1.12,34.28 ± 1.35 / 49.02 ± 1.11,17.73 ± 2.63 / 35.59 ± 2.09,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,3.09,13.38,7241748480.0,32002.0,32768.0,✗,✗,(✓),✗,35.48 ± 1.20 / 43.19 ± 0.60,59.74 ± 3.53 / 49.12 ± 2.72,15.75 ± 2.06 / 51.50 ± 2.97,29.84 ± 1.01 / 0.06 ± 0.04,37.66 ± 0.71 / 39.75 ± 0.93,24.57 ± 0.83 / 42.54 ± 0.73,12.33 ± 1.04 / 32.21 ± 0.99,15.6.1.dev0,15.7.1.dev0,15.6.1.dev0,15.7.1.dev0,16.15.0.dev0,15.7.1.dev0,15.7.1.dev0
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct</a>,📝,3.13,2.77,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,47.84 ± 1.58 / 61.86 ± 1.54,45.02 ± 1.79 / 36.66 ± 1.86,0.00 ± 0.00 / 33.36 ± 0.27,60.54 ± 2.20 / 45.80 ± 2.14,32.37 ± 0.77 / 34.75 ± 0.78,23.71 ± 0.88 / 42.73 ± 0.63,23.49 ± 1.66 / 42.13 ± 1.27,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct (val)</a>,🤔,3.14,?,4221757440.0,120818.0,262144.0,✓,✗,(✓),✓,43.97 ± 1.82 / 61.60 ± 1.29,56.20 ± 1.06 / 41.35 ± 1.01,27.18 ± 1.69 / 63.19 ± 0.96,43.67 ± 0.60 / 0.00 ± 0.00,34.84 ± 0.19 / 39.26 ± 0.20,0.00 ± 0.00 / 20.20 ± 0.69,0.00 ± 0.00 / 25.23 ± 1.12,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,3.23,0.09,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,46.98 ± 1.59 / 61.31 ± 2.18,44.11 ± 2.79 / 39.52 ± 2.46,24.42 ± 2.05 / 60.58 ± 1.05,40.73 ± 8.28 / 23.10 ± 8.04,29.90 ± 1.09 / 30.86 ± 1.26,14.88 ± 0.57 / 35.78 ± 0.44,9.95 ± 1.74 / 32.76 ± 1.25,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
