<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,2.62,?,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,83.38 ± 1.24 / 91.38 ± 0.70,45.19 ± 1.30 / 28.08 ± 0.90,21.18 ± 1.58 / 59.91 ± 0.77,59.63 ± 1.12 / 46.93 ± 1.10,23.45 ± 0.79 / 28.36 ± 0.85,28.88 ± 1.63 / 46.48 ± 1.27,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.62,0.02,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,92.40 ± 0.64 / 96.17 ± 0.33,53.18 ± 1.21 / 25.91 ± 0.71,6.85 ± 2.17 / 34.92 ± 1.06,32.84 ± 4.40 / 16.34 ± 3.44,28.63 ± 1.19 / 30.39 ± 1.63,45.30 ± 1.21 / 58.65 ± 0.96,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,2.63,1.41,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,84.36 ± 0.68 / 91.83 ± 0.34,45.96 ± 1.34 / 28.48 ± 1.15,6.35 ± 1.47 / 51.29 ± 0.65,68.69 ± 0.94 / 50.73 ± 1.58,29.16 ± 0.12 / 32.27 ± 0.13,11.85 ± 1.32 / 33.63 ± 0.87,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,2.64,0.07,9152319488.0,128000.0,4096.0,✗,✗,(✓),✓,89.95 ± 1.13 / 94.86 ± 0.61,32.48 ± 2.84 / 19.36 ± 0.91,6.25 ± 1.33 / 35.99 ± 1.09,69.85 ± 1.83 / 53.70 ± 2.52,30.12 ± 0.07 / 33.84 ± 0.06,22.04 ± 1.34 / 40.18 ± 1.20,15.10.0,15.10.0,15.10.0,15.10.0,16.15.0.dev0,15.10.0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,2.66,?,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,90.92 ± 0.79 / 95.38 ± 0.41,55.95 ± 2.23 / 36.12 ± 1.51,26.93 ± 2.25 / 53.08 ± 2.41,76.61 ± 0.62 / 64.95 ± 0.53,4.64 ± 1.40 / 5.02 ± 1.48,63.22 ± 1.09 / 72.38 ± 0.83,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.67,13.76,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,91.69 ± 0.69 / 95.84 ± 0.35,51.27 ± 1.85 / 27.17 ± 2.10,13.99 ± 2.29 / 52.27 ± 3.39,32.28 ± 4.95 / 7.90 ± 4.64,29.94 ± 0.44 / 31.37 ± 0.66,18.50 ± 1.67 / 37.62 ± 1.14,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,2.67,N/A,7298011136.0,100278.0,65536.0,✓,✗,(✓),✓,89.01 ± 0.61 / 94.45 ± 0.29,46.80 ± 2.22 / 19.13 ± 1.52,8.96 ± 1.37 / 50.56 ± 1.90,71.58 ± 0.97 / 51.40 ± 1.45,25.60 ± 0.99 / 27.00 ± 1.30,7.38 ± 1.08 / 29.93 ± 0.83,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.69,3.08,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,89.94 ± 0.44 / 94.94 ± 0.24,50.29 ± 1.49 / 24.04 ± 2.14,1.49 ± 0.72 / 33.77 ± 0.48,55.64 ± 7.52 / 38.29 ± 8.14,29.33 ± 0.19 / 31.66 ± 0.40,15.03 ± 1.19 / 35.47 ± 0.89,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.69,1.8,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,92.25 ± 0.34 / 96.11 ± 0.17,54.93 ± 1.70 / 34.32 ± 2.74,15.65 ± 1.87 / 47.02 ± 1.59,63.52 ± 7.12 / 46.56 ± 5.53,20.07 ± 0.39 / 19.93 ± 0.41,21.54 ± 0.88 / 40.82 ± 0.69,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.72,9.33,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,92.38 ± 0.51 / 96.18 ± 0.25,51.99 ± 1.84 / 34.25 ± 1.44,11.21 ± 1.31 / 47.87 ± 1.67,67.11 ± 1.76 / 48.27 ± 1.60,21.66 ± 0.96 / 21.69 ± 1.04,11.10 ± 1.17 / 32.92 ± 0.77,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think (val)</a>,🤔,2.73,?,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,84.44 ± 0.77 / 91.95 ± 0.38,52.35 ± 1.58 / 30.39 ± 1.32,9.62 ± 2.59 / 48.88 ± 1.40,63.00 ± 0.40 / 50.92 ± 0.57,23.44 ± 0.44 / 26.57 ± 0.46,16.46 ± 1.31 / 37.03 ± 1.08,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.73,5.05,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,86.77 ± 1.19 / 93.10 ± 0.66,46.67 ± 1.30 / 32.84 ± 1.75,14.31 ± 1.71 / 56.12 ± 0.86,29.23 ± 5.80 / 7.95 ± 5.45,30.73 ± 0.12 / 33.15 ± 0.19,25.49 ± 1.35 / 43.87 ± 0.93,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.74,N/A,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,92.64 ± 0.56 / 96.30 ± 0.28,38.56 ± 1.32 / 29.06 ± 2.05,12.15 ± 2.06 / 50.62 ± 3.82,71.08 ± 1.51 / 55.79 ± 2.28,22.61 ± 1.27 / 23.09 ± 1.48,15.28 ± 1.03 / 35.80 ± 0.84,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,2.75,5.72,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,86.88 ± 0.85 / 93.42 ± 0.42,42.33 ± 2.09 / 26.28 ± 1.47,7.65 ± 1.02 / 48.65 ± 2.02,60.20 ± 0.78 / 40.80 ± 1.02,28.37 ± 0.35 / 30.03 ± 0.52,8.27 ± 0.93 / 31.33 ± 0.70,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,16.15.0.dev0,15.9.2.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B (val)</a>,📝,2.78,8.25,2614341888.0,256000.0,8192.0,✗,✗,(✓),✗,87.99 ± 1.24 / 93.93 ± 0.64,27.24 ± 1.70 / 18.45 ± 1.18,6.18 ± 3.89 / 42.69 ± 2.17,64.28 ± 1.46 / 48.82 ± 2.12,30.07 ± 0.10 / 33.77 ± 0.12,17.96 ± 3.12 / 36.37 ± 1.78,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🧠,2.78,N/A,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,87.12 ± 0.84 / 93.54 ± 0.42,50.80 ± 1.38 / 43.43 ± 0.93,0.00 ± 0.00 / 32.87 ± 0.49,77.51 ± 0.62 / 58.76 ± 1.47,21.52 ± 0.52 / 21.62 ± 0.55,18.66 ± 2.72 / 39.02 ± 1.93,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.81,32.67,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,84.40 ± 1.00 / 92.16 ± 0.50,33.13 ± 1.35 / 19.57 ± 0.68,9.40 ± 2.12 / 46.59 ± 5.38,63.24 ± 1.46 / 44.01 ± 3.06,28.78 ± 0.10 / 31.47 ± 0.27,10.73 ± 1.21 / 32.70 ± 1.16,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,2.84,11.34,7241748480.0,32002.0,32768.0,✗,✗,(✓),✗,83.71 ± 1.26 / 91.81 ± 0.67,45.89 ± 2.02 / 21.39 ± 2.02,3.85 ± 1.72 / 42.95 ± 3.84,62.90 ± 2.47 / 35.15 ± 3.80,26.43 ± 1.28 / 28.80 ± 1.65,1.52 ± 0.99 / 26.10 ± 0.62,15.10.0,15.10.0,15.10.0,15.10.0,16.15.0.dev0,15.10.0
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.85,?,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,58.96 ± 2.35 / 74.86 ± 1.70,48.89 ± 2.83 / 40.26 ± 2.34,17.51 ± 2.11 / 43.91 ± 1.51,39.62 ± 0.94 / 32.54 ± 1.13,21.21 ± 0.72 / 22.55 ± 0.79,55.52 ± 1.31 / 66.52 ± 1.02,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B'>google/gemma-4-26B-A4B (val)</a>,🧠,2.85,N/A,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,88.36 ± 1.34 / 94.09 ± 0.67,39.03 ± 2.31 / 27.37 ± 1.48,18.19 ± 4.01 / 58.71 ± 2.03,65.70 ± 1.83 / 45.91 ± 2.23,19.80 ± 0.87 / 20.10 ± 0.86,15.97 ± 2.92 / 37.03 ± 2.11,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (val)</a>,📝,2.86,10.35,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,80.17 ± 0.82 / 89.53 ± 0.50,38.77 ± 2.05 / 26.95 ± 1.73,6.33 ± 1.28 / 48.48 ± 0.89,59.29 ± 0.83 / 38.39 ± 1.21,28.23 ± 0.17 / 32.07 ± 0.18,8.02 ± 1.36 / 28.12 ± 1.15,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,2.93,0.01,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,85.41 ± 0.81 / 92.66 ± 0.42,37.51 ± 1.61 / 21.85 ± 1.34,4.38 ± 2.78 / 44.19 ± 5.59,55.55 ± 1.08 / 37.98 ± 1.38,27.82 ± 0.09 / 30.70 ± 0.15,3.88 ± 1.36 / 27.26 ± 0.90,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,2.98,0.04,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,85.68 ± 0.71 / 92.78 ± 0.38,37.09 ± 1.43 / 21.10 ± 1.46,5.75 ± 2.38 / 48.83 ± 4.55,52.20 ± 0.94 / 31.98 ± 0.98,27.73 ± 0.08 / 30.90 ± 0.10,2.24 ± 1.28 / 25.98 ± 1.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,3.05,13.17,3606752256.0,128256.0,131072.0,✓,✗,(✓),✗,84.89 ± 2.08 / 92.09 ± 1.23,45.45 ± 1.72 / 26.71 ± 1.33,8.04 ± 1.65 / 50.41 ± 2.71,19.82 ± 1.01 / 0.15 ± 0.09,29.44 ± 0.17 / 31.37 ± 0.32,7.39 ± 1.65 / 30.26 ± 1.34,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,3.06,3.51,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,85.21 ± 0.84 / 92.51 ± 0.46,38.97 ± 2.13 / 21.79 ± 1.73,6.42 ± 1.81 / 51.45 ± 1.65,55.07 ± 2.16 / 34.54 ± 2.41,22.19 ± 0.79 / 23.06 ± 0.97,2.18 ± 1.52 / 25.94 ± 1.12,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,3.08,N/A,7241732096.0,32000.0,32768.0,✓,✗,(✓),✗,86.00 ± 0.63 / 92.89 ± 0.33,42.65 ± 2.35 / 31.31 ± 2.81,4.41 ± 1.56 / 47.70 ± 2.81,68.40 ± 1.43 / 51.05 ± 2.29,17.55 ± 0.62 / 17.73 ± 0.70,3.25 ± 1.29 / 27.10 ± 0.55,15.10.0,15.10.0,15.10.0,15.10.0,16.15.0.dev0,15.10.0
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,3.08,N/A,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,82.23 ± 1.31 / 91.07 ± 0.69,37.82 ± 3.29 / 23.35 ± 3.59,2.56 ± 1.93 / 45.06 ± 2.76,62.91 ± 1.13 / 41.88 ± 2.35,22.84 ± 1.36 / 24.61 ± 1.74,1.95 ± 1.20 / 25.95 ± 0.74,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-0.8B-Base'>Qwen/Qwen3.5-0.8B-Base (val)</a>,🧠,3.12,N/A,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,80.91 ± 1.64 / 90.36 ± 0.81,39.72 ± 1.60 / 27.40 ± 2.09,0.00 ± 0.00 / 32.87 ± 0.49,66.76 ± 1.20 / 50.75 ± 1.36,20.60 ± 0.46 / 22.32 ± 0.48,-2.63 ± 1.53 / 22.97 ± 0.93,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-2B-Base'>Qwen/Qwen3.5-2B-Base (val)</a>,🧠,3.15,N/A,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,72.96 ± 2.31 / 84.60 ± 1.53,42.37 ± 1.47 / 25.12 ± 1.38,0.00 ± 0.00 / 32.87 ± 0.49,72.21 ± 1.08 / 56.61 ± 1.27,19.95 ± 0.54 / 20.44 ± 0.64,0.02 ± 1.56 / 25.31 ± 0.78,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking</a>,📝,3.15,7.13,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,78.10 ± 1.32 / 88.83 ± 0.68,37.59 ± 2.45 / 24.76 ± 2.96,7.15 ± 2.00 / 51.81 ± 1.18,29.20 ± 0.62 / 0.60 ± 0.23,28.51 ± 0.09 / 32.21 ± 0.12,2.38 ± 0.76 / 27.08 ± 0.58,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.24,8.36,751632384.0,151936.0,40960.0,✓,✗,✗,✓,68.24 ± 2.47 / 83.11 ± 1.68,32.59 ± 2.44 / 16.80 ± 1.90,1.10 ± 0.94 / 42.35 ± 4.47,45.66 ± 1.85 / 29.78 ± 1.95,27.47 ± 0.22 / 30.31 ± 0.30,2.13 ± 1.19 / 26.67 ± 0.67,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct</a>,📝,3.26,3.74,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,72.11 ± 3.76 / 84.80 ± 2.48,32.45 ± 1.97 / 19.81 ± 1.10,0.07 ± 1.25 / 34.35 ± 0.96,56.94 ± 3.07 / 42.20 ± 2.93,22.51 ± 0.79 / 23.80 ± 1.03,1.91 ± 1.11 / 26.67 ± 0.87,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct (val)</a>,🤔,3.27,?,4221757440.0,120818.0,262144.0,✓,✗,(✓),✓,66.82 ± 2.12 / 83.24 ± 1.06,40.86 ± 1.26 / 26.48 ± 1.10,6.82 ± 3.13 / 52.83 ± 1.55,37.73 ± 0.67 / 0.00 ± 0.00,24.37 ± 0.20 / 27.78 ± 0.24,0.00 ± 0.00 / 25.31 ± 0.84,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.32,N/A,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,81.07 ± 3.00 / 90.30 ± 1.72,20.99 ± 2.41 / 17.32 ± 2.08,-0.13 ± 2.27 / 48.41 ± 1.57,53.20 ± 2.36 / 32.93 ± 2.82,24.01 ± 0.54 / 26.47 ± 0.65,-0.75 ± 1.24 / 24.22 ± 0.87,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.38,N/A,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,90.57 ± 0.87 / 95.19 ± 0.46,19.44 ± 1.24 / 17.79 ± 1.09,1.84 ± 1.73 / 42.71 ± 3.57,50.90 ± 2.84 / 36.78 ± 2.81,20.07 ± 1.17 / 20.09 ± 1.24,0.85 ± 1.27 / 25.03 ± 0.90,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.41,N/A,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,89.97 ± 0.71 / 94.97 ± 0.35,20.83 ± 1.49 / 19.08 ± 1.48,1.11 ± 1.17 / 38.34 ± 3.16,50.27 ± 4.11 / 34.65 ± 3.99,19.90 ± 1.71 / 21.26 ± 1.85,-1.01 ± 1.00 / 25.01 ± 0.67,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.44,0.56,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,91.20 ± 0.65 / 95.59 ± 0.32,23.30 ± 1.42 / 17.59 ± 1.11,1.09 ± 1.51 / 36.52 ± 4.08,15.94 ± 0.95 / 0.00 ± 0.00,25.39 ± 0.66 / 26.82 ± 0.86,4.74 ± 1.52 / 27.61 ± 1.12,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-4-E4B'>google/gemma-4-E4B (val)</a>,🧠,3.46,N/A,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,82.13 ± 1.75 / 90.65 ± 0.96,24.60 ± 1.89 / 18.64 ± 1.21,-1.06 ± 1.82 / 48.64 ± 1.04,53.06 ± 3.99 / 36.04 ± 3.36,17.12 ± 1.14 / 18.06 ± 1.18,-3.29 ± 1.66 / 22.27 ± 1.33,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,3.46,0.18,2424375168.0,99000.0,28723.0,✗,✗,(✓),✓,58.06 ± 8.93 / 74.17 ± 7.47,26.83 ± 1.20 / 16.23 ± 1.06,2.12 ± 1.97 / 44.14 ± 4.31,34.54 ± 2.69 / 7.09 ± 3.33,25.57 ± 0.75 / 28.52 ± 0.86,2.56 ± 1.59 / 26.81 ± 1.13,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.15.0.dev0,16.2.2.dev0
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct (val)</a>,🤔,3.46,?,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,58.24 ± 1.96 / 79.03 ± 0.99,33.76 ± 1.76 / 23.89 ± 1.22,4.49 ± 2.01 / 51.36 ± 0.95,31.20 ± 0.72 / 0.00 ± 0.00,24.00 ± 0.29 / 27.94 ± 0.33,0.00 ± 0.00 / 25.31 ± 0.84,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.49,8.03,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,47.07 ± 8.76 / 65.77 ± 7.79,31.77 ± 2.71 / 21.56 ± 1.85,4.02 ± 2.09 / 43.28 ± 4.38,21.42 ± 2.00 / 0.96 ± 1.22,28.78 ± 0.11 / 31.25 ± 0.22,3.29 ± 1.69 / 27.70 ± 1.07,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.52,3.66,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,29.81 ± 12.89 / 51.02 ± 10.04,12.10 ± 3.29 / 9.70 ± 1.25,2.28 ± 1.72 / 36.44 ± 2.94,58.21 ± 1.36 / 37.76 ± 1.90,27.76 ± 0.19 / 31.37 ± 0.18,-0.34 ± 1.29 / 25.82 ± 0.90,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,16.15.0.dev0,15.10.1.dev0
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.54,N/A,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,79.54 ± 5.59 / 88.82 ± 3.86,7.81 ± 3.00 / 7.45 ± 2.29,1.88 ± 1.63 / 37.70 ± 3.79,56.64 ± 1.28 / 41.45 ± 1.41,20.14 ± 0.49 / 20.49 ± 0.57,1.03 ± 1.05 / 26.58 ± 0.77,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,16.15.0.dev0,15.10.1.dev0
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.56,N/A,1195468800.0,65536.0,2048.0,✓,✗,(✓),✓,47.46 ± 10.51 / 66.51 ± 8.92,25.49 ± 1.62 / 20.08 ± 1.99,0.30 ± 1.39 / 36.15 ± 3.12,47.75 ± 1.81 / 34.24 ± 2.17,21.86 ± 1.23 / 23.43 ± 1.43,-0.53 ± 1.07 / 23.91 ± 1.24,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
