<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
<a href='https://hf.co/timpal0l/Llama-3-8B-flashback-v1'>timpal0l/Llama-3-8B-flashback-v1</a>,🧠,-,8030261248.0,128256.0,8192.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/meta-llama/Llama-2-13b-chat-hf'>meta-llama/Llama-2-13b-chat-hf</a>,📝,-,13015866880.0,32000.0,4096.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro (zero-shot)</a>,📝,-,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-
"<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct (zero-shot, val)</a>",📝,-,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct (zero-shot, val)</a>",📝,-,1720574976.0,151936.0,40960.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct (zero-shot)</a>,📝,-,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/ltg/norbert3-large'>ltg/norbert3-large</a>,🔍,-,354407427.0,50000.0,512.0,✓,✗,(✓),✗,-,1.23,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/ibm-granite/granite-3.0-2b-instruct'>ibm-granite/granite-3.0-2b-instruct</a>,📝,-,2634201088.0,49155.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning</a>,🤔,-,?,?,131072.0,✓,✗,✗,✓,-,-,-
"xai/grok-3-mini-beta#high (zero-shot, val)</a>",🤔,-,?,?,131072.0,✓,✗,✗,✓,-,1.92,-
"<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it (zero-shot, val)</a>",📝,-,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it (zero-shot)</a>,📝,-,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it (val)</a>,📝,-,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,-,-,-
"xai/grok-3-beta (zero-shot, val)</a>",📝,-,?,?,131072.0,✓,✗,✗,✓,-,1.76,-
"<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it (zero-shot, val)</a>",📝,-,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/google/gemma-3n-E4B'>google/gemma-3n-E4B</a>,🧠,-,7849978192.0,262400.0,?,✓,✗,(✓),✓,-,2.21,-
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it (val)</a>,📝,-,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,-,-,-
"<a href='https://docs.x.ai/docs/models'>xai/grok-2-1212 (zero-shot, val)</a>",📝,-,?,?,131072.0,✓,✗,✗,✓,-,2.08,-
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it</a>,📝,-,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (zero-shot)</a>,📝,-,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (zero-shot, val)</a>",📝,-,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/vesteinn/ScandiBERT'>vesteinn/ScandiBERT</a>,🔍,-,124548012.0,50005.0,514.0,✓,✗,(✓),✓,-,3.79,-
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it</a>,📝,-,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (zero-shot)</a>,📝,-,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (zero-shot, val)</a>",📝,-,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/utter-project/EuroVLM-1.7B-Preview'>utter-project/EuroVLM-1.7B-Preview</a>,📝,-,2061162016.0,128000.0,?,✓,✗,(✓),✓,-,3.62,-
<a href='https://hf.co/vesteinn/XLMR-ENIS'>vesteinn/XLMR-ENIS</a>,🔍,-,124548012.0,50005.0,514.0,✓,✗,(✓),✗,-,3.28,-
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it</a>,📝,-,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it (zero-shot)</a>,📝,-,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (val)</a>,🤔,-,?,?,131072.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it (zero-shot)</a>,📝,-,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it (val)</a>,📝,-,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#thinking</a>,🤔,-,110468824832.0,151552.0,131072.0,✓,✗,✗,✓,1.86,2.06,-
"<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it (zero-shot, val)</a>",📝,-,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it (zero-shot)</a>,📝,-,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it (val)</a>,📝,-,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it (zero-shot, val)</a>",📝,-,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (zero-shot)</a>,📝,-,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,1.79,2.22,-
<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot)</a>,🤔,-,?,?,131072.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,-,110468824832.0,151552.0,131072.0,✓,✗,✗,✓,2.01,2.10,-
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (val)</a>,📝,-,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct (zero-shot, val)</a>",📝,-,2424375168.0,99000.0,28723.0,✗,✗,(✓),✓,-,-,-
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct (val)</a>,📝,-,2424375168.0,99000.0,28723.0,✗,✗,(✓),✓,-,-,-
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct (zero-shot)</a>,📝,-,2424375168.0,99000.0,28723.0,✗,✗,(✓),✓,-,-,-
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it (zero-shot)</a>,📝,-,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it (val)</a>,📝,-,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it (zero-shot, val)</a>",📝,-,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
"<a href='https://docs.x.ai/developers/models/grok-4.20-beta-0309-reasoning'>xai/grok-4.20-beta-0309-reasoning (zero-shot, val)</a>",📝,-,?,?,131072.0,✓,✗,✗,✓,-,-,-
"<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (zero-shot, val)</a>",📝,-,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/ibm-granite/granite-3.0-3b-a800m-base'>ibm-granite/granite-3.0-3b-a800m-base</a>,🧠,-,3374286336.0,49152.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (zero-shot)</a>,📝,-,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it</a>,📝,-,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (zero-shot, val)</a>",📝,-,?,200019.0,128000.0,✓,✗,✗,✓,-,-,-
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#high (zero-shot, val)</a>",🤔,-,?,100256.0,272000.0,✓,✗,✗,✓,-,1.37,-
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#minimal (zero-shot, val)</a>",🤔,-,?,100256.0,272000.0,✓,✗,✗,✓,-,1.56,-
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,-,9152319488.0,128000.0,4096.0,✗,✗,(✓),✓,-,-,-
"<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview (zero-shot, val)</a>",📝,-,22637328384.0,128000.0,4096.0,✓,✗,(✓),✓,-,-,-
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#high (zero-shot, val)</a>",🤔,-,?,100256.0,272000.0,✓,✗,✗,✓,-,1.57,-
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#minimal (zero-shot, val)</a>",🤔,-,?,100256.0,272000.0,✓,✗,✗,✓,-,2.06,-
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07#high (zero-shot, val)</a>",🤔,-,?,100256.0,272000.0,✓,✗,✗,✓,-,1.74,-
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct (zero-shot)</a>,📝,-,9152319488.0,128000.0,4096.0,✗,✗,(✓),✓,-,-,-
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview (val)</a>,📝,-,22637328384.0,128000.0,4096.0,✓,✗,(✓),✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (val)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/ibm-granite/granite-20b-code-base'>ibm-granite/granite-20b-code-base</a>,🧠,-,20066993152.0,49152.0,8192.0,✓,✗,(✓),✗,-,2.74,-
<a href='https://hf.co/ibm-granite/granite-20b-code-instruct'>ibm-granite/granite-20b-code-instruct</a>,📝,-,20066993152.0,49152.0,8192.0,✓,✗,(✓),✗,-,2.94,-
<a href='https://hf.co/ibm-granite/granite-3.0-1b-a400m-base'>ibm-granite/granite-3.0-1b-a400m-base</a>,🧠,-,1384956928.0,49152.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/ibm-granite/granite-3.0-1b-a400m-instruct'>ibm-granite/granite-3.0-1b-a400m-instruct</a>,📝,-,1334628352.0,49155.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/ibm-granite/granite-3.0-2b-base'>ibm-granite/granite-3.0-2b-base</a>,🧠,-,2533525504.0,49152.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview (zero-shot)</a>,📝,-,22637328384.0,128000.0,4096.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (zero-shot, val)</a>",📝,-,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct (val)</a>,📝,-,9152319488.0,128000.0,4096.0,✗,✗,(✓),✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (val)</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (zero-shot)</a>,📝,-,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (zero-shot, val)</a>",📝,-,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/google/gemma-7b-it'>google/gemma-7b-it</a>,📝,-,8537680896.0,256000.0,8192.0,✗,✗,(✓),✓,-,3.50,-
<a href='https://hf.co/google/gemma-7b'>google/gemma-7b</a>,🧠,-,8537680896.0,256000.0,8192.0,✓,✗,(✓),✓,-,2.47,-
<a href='https://hf.co/google/rembert'>google/rembert</a>,🔍,-,575923843.0,250300.0,512.0,✓,✗,(✓),✓,-,-,1.98
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (zero-shot, val)</a>",📝,-,?,100256.0,128000.0,✓,✗,✗,✓,-,-,-
"<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview (zero-shot, val)</a>",📝,-,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,-,?,200019.0,128000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot)</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview (val)</a>,📝,-,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview (zero-shot)</a>,📝,-,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot)</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (val)</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-
"<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct (zero-shot, val)</a>",📝,-,9152319488.0,128000.0,4096.0,✗,✗,(✓),✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot)</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (val)</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07#minimal (zero-shot, val)</a>",🤔,-,?,100256.0,272000.0,✓,✗,✗,✓,-,2.53,-
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,-,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/meta-llama/Llama-2-7b-hf'>meta-llama/Llama-2-7b-hf</a>,📝,-,6738417664.0,32000.0,4096.0,✓,✗,(✓),✓,-,-,-
"<a href='https://www.ordbogen.ai/docs/models/odin-medium'>ordbogen/odin-medium (zero-shot, val)</a>",🤔,-,?,?,131072.0,✓,✗,✗,✓,1.63,-,-
<a href='https://www.ordbogen.ai/docs/models/odin-large'>ordbogen/odin-large (val)</a>,🤔,-,?,?,202752.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2#no-thinking</a>,📝,-,8888227328.0,131072.0,131072.0,✓,✗,✗,✓,-,3.39,-
<a href='https://www.ordbogen.ai/docs/models/odin-large'>ordbogen/odin-large (zero-shot)</a>,🤔,-,?,?,202752.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/nvidia/Nemotron-Cascade-2-30B-A3B'>nvidia/Nemotron-Cascade-2-30B-A3B (val)</a>,🤔,-,31577937344.0,131072.0,262144.0,✓,✗,(✓),✓,1.64,-,-
<a href='https://www.ordbogen.ai/docs/models/odin-large'>ordbogen/odin-large</a>,🤔,-,?,?,202752.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/nvidia/Nemotron-Cascade-2-30B-A3B'>nvidia/Nemotron-Cascade-2-30B-A3B</a>,🤔,-,31577937344.0,131072.0,262144.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/nvidia/Nemotron-Cascade-2-30B-A3B'>nvidia/Nemotron-Cascade-2-30B-A3B (zero-shot)</a>,🤔,-,31577937344.0,131072.0,262144.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (zero-shot, val)</a>",🤔,-,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,-,-,-
"<a href='https://hf.co/nvidia/Nemotron-Cascade-2-30B-A3B'>nvidia/Nemotron-Cascade-2-30B-A3B (zero-shot, val)</a>",🤔,-,31577937344.0,131072.0,262144.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/nvidia/mistral-nemo-minitron-8b-instruct'>nvidia/mistral-nemo-minitron-8b-instruct</a>,📝,-,8414105600.0,131072.0,8192.0,✓,✗,(✓),✓,-,-,-
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,-,?,?,200000.0,✓,✗,✗,✓,-,1.49,-
"<a href='https://platform.openai.com/docs/models/o3-mini'>o3-mini-2025-01-31 (zero-shot, val)</a>",🤔,-,?,?,200000.0,✓,✗,✗,✓,-,2.05,-
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,-,?,?,200000.0,✓,✗,✗,✓,-,1.79,-
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,-,7241748480.0,32002.0,32768.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct (zero-shot)</a>,📝,-,7241748480.0,32002.0,32768.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct (val)</a>,📝,-,7241748480.0,32002.0,32768.0,✗,✗,(✓),✗,-,-,-
"<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct (zero-shot, val)</a>",📝,-,7241748480.0,32002.0,32768.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/nvidia/mistral-nemo-minitron-8b-base'>nvidia/mistral-nemo-minitron-8b-base</a>,🧠,-,8414105600.0,131072.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (zero-shot)</a>,🤔,-,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8</a>,🤔,-,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/senseable/WestLake-7B-v2'>senseable/WestLake-7B-v2</a>,🧠,-,7241732096.0,32000.0,4096.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/mistralai/Mixtral-8x7B-Instruct-v0.1'>mistralai/Mixtral-8x7B-Instruct-v0.1</a>,📝,-,46702792704.0,32000.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/mistralai/Mixtral-8x7B-v0.1'>mistralai/Mixtral-8x7B-v0.1</a>,🧠,-,46702792704.0,32000.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/mistralai/Voxtral-Mini-3B-2507'>mistralai/Voxtral-Mini-3B-2507</a>,📝,-,4676271104.0,131072.0,?,✓,✗,(✓),✓,-,2.43,-
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,-,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,1.80,-,1.73
<a href='https://hf.co/mlabonne/NeuralBeagle14-7B'>mlabonne/NeuralBeagle14-7B (val)</a>,📝,-,7241732096.0,32000.0,8192.0,✗,✓,(✓),✗,-,-,-
<a href='https://hf.co/neph1/bellman-7b-mistral-instruct-v0.2'>neph1/bellman-7b-mistral-instruct-v0.2</a>,📝,-,7241732096.0,32000.0,32768.0,✗,✗,(✓),✗,-,-,-
"<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct (zero-shot, val)</a>",📝,-,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/neuralmagic/Sparse-Llama-3.1-8B-2of4'>neuralmagic/Sparse-Llama-3.1-8B-2of4</a>,🧠,-,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/neurocode/IsRoBERTa'>neurocode/IsRoBERTa</a>,🔍,-,83453187.0,52000.0,514.0,✓,✗,(✓),✗,-,3.63,-
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct (val)</a>,📝,-,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/norallm/normistral-11b-warm'>norallm/normistral-11b-warm</a>,🧠,-,11429893120.0,51200.0,1024000.0,✓,✗,(✓),✗,-,2.28,-
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct (zero-shot)</a>,📝,-,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/nvidia/Llama-3.1-Nemotron-70B-Instruct-HF'>nvidia/Llama-3.1-Nemotron-70B-Instruct-HF</a>,📝,-,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking (zero-shot)</a>,📝,-,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking (val)</a>,📝,-,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,-,470927360.0,501153.0,512.0,✓,✗,(✓),✗,-,-,1.92
"<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking (zero-shot, val)</a>",📝,-,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/sentence-transformers/use-cmlm-multilingual'>sentence-transformers/use-cmlm-multilingual</a>,🔍,-,472022179.0,501153.0,512.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,-,117654272.0,250037.0,512.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,-,7241732096.0,32000.0,32768.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (zero-shot)</a>,📝,-,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,-,-,-
<a href='https://ollama.com/library/gemma3:12b-it-fp16'>ollama_chat/gemma3:12b-it-fp16 (val)</a>,📝,-,12187325040.0,262144.0,128000.0,✓,✗,✗,✓,-,1.70,-
<a href='https://ollama.com/library/gemma3:1b'>ollama_chat/gemma3:1b</a>,📝,-,1000000000.0,262144.0,32768.0,✓,✗,✗,✓,-,3.17,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (val)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
