<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,2.73,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,37.30 ± 1.62 / 57.55 ± 1.23,41.15 ± 1.63 / 34.12 ± 1.72,9.30 ± 1.22 / 53.12 ± 1.49,58.17 ± 1.67 / 38.97 ± 1.90,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,2.74,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,28.86 ± 2.06 / 51.86 ± 1.32,49.29 ± 1.69 / 35.24 ± 4.54,7.11 ± 1.88 / 52.47 ± 1.25,59.00 ± 1.20 / 40.91 ± 1.22,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,2.74,?,?,?,✓,✗,(✓),✓,31.15 ± 2.77 / 51.59 ± 2.56,34.16 ± 1.31 / 17.97 ± 1.11,14.23 ± 2.17 / 54.21 ± 2.74,68.05 ± 0.99 / 48.80 ± 1.11,16.17.0,16.17.0,16.17.0,16.17.0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.78,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,32.76 ± 2.12 / 55.50 ± 1.43,39.18 ± 1.57 / 27.47 ± 1.72,10.31 ± 1.25 / 53.79 ± 0.60,61.82 ± 1.73 / 41.70 ± 2.03,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.79,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,43.37 ± 1.23 / 59.26 ± 0.81,37.79 ± 3.26 / 32.15 ± 2.39,15.93 ± 2.51 / 49.91 ± 1.75,36.72 ± 0.76 / 27.32 ± 0.77,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,2.80,70599864480.0,131072.0,65536.0,✓,✗,(✓),✗,29.15 ± 3.10 / 40.90 ± 4.02,44.78 ± 2.01 / 31.48 ± 2.13,3.43 ± 3.16 / 34.44 ± 1.16,67.00 ± 2.02 / 48.65 ± 2.61,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.81,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,32.90 ± 1.96 / 55.29 ± 1.31,41.43 ± 1.74 / 29.86 ± 1.78,8.51 ± 1.57 / 53.73 ± 0.78,60.15 ± 1.85 / 40.75 ± 1.87,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot, val)</a>",🤔,2.81,?,?,400000.0,✓,✗,✗,✓,41.06 ± 1.55 / 60.75 ± 1.05,35.35 ± 1.09 / 18.12 ± 0.70,8.25 ± 1.11 / 53.99 ± 0.53,56.68 ± 0.41 / 29.15 ± 0.84,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-4-31B'>google/gemma-4-31B (val)</a>,🧠,2.82,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,29.65 ± 2.36 / 53.59 ± 1.60,53.08 ± 2.69 / 43.18 ± 2.43,-0.04 ± 1.31 / 33.00 ± 0.51,61.42 ± 1.82 / 38.27 ± 1.90,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,2.83,10731524096.0,32000.0,4096.0,✓,✗,(✓),✗,15.84 ± 3.02 / 30.17 ± 2.52,49.22 ± 1.71 / 35.80 ± 3.67,10.46 ± 1.91 / 49.82 ± 4.42,58.69 ± 1.94 / 40.23 ± 2.59,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.2.2.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16 (val)</a>,🧠,2.85,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,30.99 ± 2.35 / 52.67 ± 1.63,40.65 ± 1.39 / 28.33 ± 1.35,4.14 ± 1.88 / 41.43 ± 1.88,61.83 ± 0.94 / 44.12 ± 1.00,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,2.85,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,29.62 ± 3.47 / 41.67 ± 3.55,36.95 ± 1.61 / 18.67 ± 1.66,9.14 ± 1.74 / 49.43 ± 3.48,64.39 ± 1.93 / 45.19 ± 2.04,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512</a>,🧠,2.86,4251743232.0,131072.0,8192.0,✓,✗,(✓),✓,25.72 ± 3.41 / 43.24 ± 4.26,44.08 ± 1.57 / 33.94 ± 2.47,3.54 ± 2.11 / 38.24 ± 5.22,65.76 ± 3.39 / 46.78 ± 4.97,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.86,9152319488.0,128000.0,4096.0,✓,✗,(✓),✓,33.40 ± 2.48 / 53.36 ± 2.86,38.74 ± 2.22 / 26.33 ± 3.09,0.51 ± 1.01 / 33.35 ± 0.35,64.32 ± 1.74 / 45.38 ± 2.52,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0
<a href='https://hf.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,2.86,278044162.0,250002.0,512.0,✓,✗,(✓),✗,39.34 ± 2.09 / 55.74 ± 3.28,71.63 ± 6.38 / 68.13 ± 6.18,2.80 ± 2.85 / 49.42 ± 2.33,13.55 ± 3.05 / 8.48 ± 2.13,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.87,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,39.24 ± 2.07 / 59.62 ± 1.06,40.64 ± 1.72 / 27.11 ± 1.37,19.81 ± 1.82 / 57.83 ± 1.70,27.68 ± 2.87 / 4.87 ± 1.84,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2</a>,🤔,2.87,8888227328.0,131072.0,131072.0,✓,✗,✗,✓,33.72 ± 1.18 / 54.34 ± 0.88,41.87 ± 1.14 / 35.19 ± 0.95,7.53 ± 1.26 / 53.75 ± 0.64,49.52 ± 1.27 / 30.24 ± 1.16,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.88,3849090048.0,131072.0,8192.0,✓,✗,(✓),✓,24.99 ± 1.95 / 43.54 ± 2.27,47.29 ± 0.95 / 35.19 ± 1.25,3.37 ± 1.95 / 38.30 ± 2.95,64.59 ± 1.71 / 42.16 ± 2.17,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Mini-3B-2507'>mistralai/Voxtral-Mini-3B-2507</a>,📝,2.91,4676271104.0,131072.0,?,✓,✗,(✓),✓,24.48 ± 2.49 / 45.68 ± 3.39,42.11 ± 2.80 / 26.95 ± 2.62,5.99 ± 1.99 / 50.30 ± 3.08,64.57 ± 2.14 / 46.77 ± 2.69,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/google/rembert'>google/rembert</a>,🔍,2.91,575922690.0,250300.0,512.0,✓,✗,(✓),✓,10.89 ± 3.36 / 31.85 ± 3.83,68.29 ± 1.13 / 63.66 ± 1.24,12.04 ± 7.52 / 52.89 ± 4.94,36.38 ± 1.20 / 28.26 ± 1.31,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B</a>,📝,2.92,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,33.58 ± 1.44 / 49.38 ± 2.12,30.33 ± 0.86 / 20.86 ± 1.25,14.00 ± 1.41 / 52.30 ± 2.67,54.10 ± 1.43 / 34.93 ± 1.73,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct</a>,📝,2.96,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,22.13 ± 2.01 / 39.35 ± 2.70,42.22 ± 1.66 / 27.97 ± 2.70,10.38 ± 2.02 / 45.21 ± 2.35,51.73 ± 1.36 / 34.91 ± 1.53,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-2B-Base'>Qwen/Qwen3.5-2B-Base (val)</a>,🧠,2.97,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,25.60 ± 1.36 / 38.31 ± 1.65,41.55 ± 1.94 / 26.90 ± 1.80,0.00 ± 0.00 / 32.87 ± 0.49,63.18 ± 1.41 / 42.94 ± 1.26,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.97,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,32.60 ± 1.77 / 46.49 ± 2.98,29.42 ± 1.21 / 20.25 ± 1.20,12.82 ± 1.64 / 51.11 ± 3.19,52.45 ± 1.68 / 32.79 ± 2.01,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.98,32233522176.0,100278.0,65536.0,✓,✗,(✓),✓,18.16 ± 2.15 / 35.04 ± 2.45,47.50 ± 1.90 / 37.87 ± 3.41,-0.18 ± 0.74 / 33.36 ± 0.28,70.95 ± 1.01 / 55.45 ± 1.26,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🧠,2.99,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,11.38 ± 1.06 / 20.68 ± 0.82,53.62 ± 1.28 / 40.73 ± 1.52,0.00 ± 0.00 / 32.87 ± 0.49,69.86 ± 1.40 / 48.39 ± 1.72,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,3.00,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,22.49 ± 2.86 / 33.70 ± 3.25,39.10 ± 1.30 / 28.05 ± 1.70,0.00 ± 0.00 / 33.36 ± 0.27,68.67 ± 2.07 / 49.94 ± 2.37,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking</a>,📝,3.01,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,23.62 ± 2.49 / 42.49 ± 1.94,40.27 ± 2.03 / 20.72 ± 1.34,7.10 ± 1.83 / 50.60 ± 1.65,54.64 ± 1.93 / 34.37 ± 1.91,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,3.02,8053338176.0,131072.0,65536.0,✓,✗,(✓),✗,32.28 ± 2.34 / 54.30 ± 1.31,31.58 ± 2.57 / 25.16 ± 2.46,0.00 ± 0.00 / 33.30 ± 0.27,65.11 ± 2.65 / 43.90 ± 3.65,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/EMBEDDIA/litlat-bert'>EMBEDDIA/litlat-bert</a>,🔍,3.03,150710018.0,84201.0,514.0,✓,✗,(✓),✗,43.69 ± 2.00 / 60.86 ± 2.03,52.27 ± 11.73 / 53.13 ± 9.56,10.32 ± 4.88 / 50.55 ± 2.53,0.50 ± 0.63 / 0.26 ± 0.33,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/CohereLabs/tiny-aya-base'>CohereLabs/tiny-aya-base (val)</a>,🧠,3.05,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,29.01 ± 4.54 / 42.42 ± 3.39,34.73 ± 3.34 / 27.21 ± 3.03,0.00 ± 0.00 / 32.87 ± 0.96,63.51 ± 3.21 / 43.06 ± 3.89,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,3.05,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,27.91 ± 1.99 / 41.76 ± 2.54,36.70 ± 1.90 / 28.42 ± 2.94,0.00 ± 0.00 / 33.36 ± 0.27,64.94 ± 2.42 / 45.04 ± 2.89,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,3.08,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,31.26 ± 1.48 / 48.49 ± 1.61,45.63 ± 1.64 / 31.12 ± 4.21,9.57 ± 1.62 / 52.92 ± 1.23,28.82 ± 0.93 / 0.35 ± 0.23,16.10.0,16.10.0,16.10.0,16.10.0
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (val)</a>,📝,3.08,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,26.03 ± 1.59 / 40.73 ± 2.69,40.34 ± 2.30 / 24.74 ± 1.50,8.27 ± 2.02 / 42.26 ± 1.68,44.32 ± 0.75 / 24.48 ± 0.53,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,3.09,?,128000.0,4096.0,✓,✗,(✓),✓,13.43 ± 4.77 / 26.79 ± 3.79,41.78 ± 1.56 / 31.86 ± 3.10,0.00 ± 0.00 / 33.30 ± 0.27,70.34 ± 1.04 / 51.71 ± 1.55,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B'>google/gemma-4-26B-A4B (val)</a>,🧠,3.11,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,17.95 ± 2.01 / 45.29 ± 1.61,37.10 ± 2.09 / 27.26 ± 1.82,4.02 ± 3.01 / 38.22 ± 1.51,60.35 ± 1.47 / 37.41 ± 1.59,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,3.12,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,35.07 ± 2.48 / 55.53 ± 2.20,40.43 ± 1.48 / 25.27 ± 2.10,7.04 ± 1.91 / 45.77 ± 3.27,29.13 ± 1.93 / 3.10 ± 1.52,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,📝,3.12,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,24.66 ± 2.79 / 47.68 ± 2.13,39.92 ± 1.00 / 21.75 ± 1.14,8.14 ± 2.80 / 53.84 ± 1.42,43.45 ± 0.90 / 23.87 ± 1.02,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,3.13,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,29.95 ± 2.50 / 50.68 ± 1.46,32.30 ± 2.35 / 18.64 ± 0.68,6.17 ± 0.98 / 51.58 ± 1.14,48.72 ± 1.21 / 28.97 ± 1.65,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,3.15,7241748480.0,32002.0,32768.0,✗,✗,(✓),✗,25.02 ± 2.15 / 48.61 ± 1.65,40.92 ± 2.12 / 24.98 ± 2.63,2.95 ± 2.38 / 49.45 ± 2.57,47.94 ± 2.26 / 26.87 ± 1.99,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,3.19,117654272.0,250037.0,512.0,✓,✗,(✓),✗,44.10 ± 1.82 / 60.70 ± 2.37,55.57 ± 2.15 / 54.27 ± 2.10,0.24 ± 1.61 / 48.58 ± 0.99,0.37 ± 0.53 / 0.06 ± 0.06,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/TildeAI/TildeOpen-30b'>TildeAI/TildeOpen-30b#slow-tokenizer</a>,🧠,3.19,30677882880.0,131072.0,65536.0,✓,✗,✗,✓,3.04 ± 1.82 / 16.79 ± 0.51,39.16 ± 1.88 / 34.29 ± 1.79,9.73 ± 2.87 / 38.22 ± 2.08,63.30 ± 2.72 / 40.58 ± 3.32,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,3.20,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,29.50 ± 1.04 / 38.50 ± 0.83,34.34 ± 2.69 / 22.69 ± 2.82,2.68 ± 1.75 / 48.49 ± 1.78,43.69 ± 1.40 / 28.16 ± 1.57,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,3.21,7298011136.0,100278.0,65536.0,✓,✗,(✓),✓,24.04 ± 2.07 / 43.94 ± 2.21,37.50 ± 2.38 / 22.14 ± 2.50,3.08 ± 1.57 / 45.08 ± 4.05,46.02 ± 1.33 / 33.02 ± 1.24,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,3.22,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,22.50 ± 1.72 / 44.34 ± 2.22,37.97 ± 1.68 / 23.59 ± 1.22,5.59 ± 2.06 / 47.31 ± 1.47,41.32 ± 0.81 / 22.34 ± 0.86,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think</a>,🤔,3.23,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,27.37 ± 1.40 / 45.82 ± 1.13,42.55 ± 1.04 / 27.19 ± 1.43,1.52 ± 1.51 / 38.30 ± 0.54,34.49 ± 1.56 / 18.82 ± 0.97,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.13.0.dev0
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,3.29,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,26.38 ± 0.97 / 39.41 ± 0.88,27.38 ± 1.24 / 15.63 ± 0.99,3.65 ± 1.93 / 44.88 ± 5.18,48.85 ± 0.94 / 32.29 ± 1.28,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,3.35,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,21.29 ± 1.90 / 46.94 ± 1.23,35.31 ± 2.43 / 26.29 ± 2.73,2.96 ± 1.43 / 49.11 ± 1.91,37.77 ± 1.15 / 22.52 ± 0.98,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think (val)</a>,🤔,3.36,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,25.29 ± 1.54 / 42.11 ± 1.24,40.36 ± 1.53 / 26.02 ± 1.30,-0.14 ± 2.11 / 37.29 ± 0.80,29.41 ± 1.45 / 15.99 ± 1.33,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,3.39,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,20.36 ± 2.22 / 46.16 ± 1.42,34.42 ± 2.36 / 24.26 ± 2.55,1.57 ± 2.44 / 48.07 ± 2.60,37.38 ± 1.19 / 21.45 ± 1.34,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,3.41,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,20.39 ± 2.05 / 39.70 ± 1.60,31.92 ± 2.33 / 23.54 ± 2.58,2.52 ± 1.62 / 48.19 ± 1.04,36.66 ± 1.08 / 21.59 ± 1.45,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/arcee-ai/Trinity-Nano-Preview'>arcee-ai/Trinity-Nano-Preview</a>,📝,3.45,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,12.14 ± 4.33 / 35.50 ± 4.91,34.81 ± 1.64 / 30.87 ± 1.55,5.81 ± 2.00 / 45.71 ± 4.68,39.63 ± 3.13 / 23.02 ± 2.66,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.46,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,30.29 ± 2.75 / 38.34 ± 2.03,18.12 ± 1.94 / 16.09 ± 1.92,-0.70 ± 0.92 / 33.29 ± 0.27,45.93 ± 3.14 / 26.54 ± 3.80,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,3.47,3606752256.0,128256.0,131072.0,✓,✗,(✓),✗,27.96 ± 2.59 / 42.07 ± 4.82,34.99 ± 1.09 / 22.51 ± 1.78,5.01 ± 2.27 / 44.03 ± 4.93,14.30 ± 1.06 / 0.06 ± 0.08,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-0.8B-Base'>Qwen/Qwen3.5-0.8B-Base (val)</a>,🧠,3.50,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,9.59 ± 1.78 / 15.56 ± 1.55,34.66 ± 2.54 / 23.45 ± 1.93,0.00 ± 0.00 / 32.87 ± 0.49,46.54 ± 0.93 / 27.83 ± 1.02,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking</a>,📝,3.50,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,27.02 ± 1.47 / 51.44 ± 1.03,33.50 ± 1.20 / 25.07 ± 2.34,3.27 ± 1.03 / 51.36 ± 0.46,20.70 ± 1.14 / 0.73 ± 0.20,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus (val)</a>,🤔,3.55,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,19.29 ± 2.18 / 44.14 ± 1.09,34.53 ± 1.74 / 28.18 ± 1.68,8.62 ± 3.13 / 52.18 ± 1.65,10.87 ± 0.98 / 1.55 ± 0.53,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.56,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,34.24 ± 2.75 / 54.23 ± 1.59,20.92 ± 2.15 / 15.48 ± 1.56,5.56 ± 1.83 / 48.73 ± 3.76,16.06 ± 0.66 / 0.00 ± 0.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama</a>,🧠,3.56,7799574528.0,100096.0,4096.0,✓,✗,(✓),✗,10.51 ± 2.83 / 21.88 ± 2.30,35.63 ± 1.84 / 30.45 ± 1.92,0.38 ± 0.40 / 33.55 ± 0.27,37.35 ± 1.94 / 24.84 ± 2.08,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
