<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.58,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,74.47 ± 2.88 / 87.00 ± 1.45,47.58 ± 2.30 / 32.07 ± 1.93,34.44 ± 3.08 / 66.59 ± 1.67,63.46 ± 1.73 / 42.74 ± 2.01,22.68 ± 0.07 / 22.62 ± 0.07,32.78 ± 0.81 / 49.23 ± 0.66,14.78 ± 1.21 / 57.34 ± 0.62,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.61,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,70.49 ± 1.36 / 83.40 ± 1.01,57.40 ± 1.31 / 40.69 ± 2.16,18.75 ± 2.25 / 42.00 ± 2.28,66.68 ± 1.70 / 42.90 ± 1.69,27.13 ± 1.40 / 27.43 ± 1.52,21.05 ± 0.69 / 39.97 ± 0.54,11.43 ± 2.48 / 55.71 ± 1.21,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,2.62,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,66.16 ± 4.50 / 79.75 ± 3.35,54.83 ± 1.24 / 38.75 ± 1.86,18.66 ± 3.67 / 56.52 ± 3.41,66.34 ± 1.60 / 43.24 ± 1.78,31.54 ± 0.22 / 32.68 ± 0.26,29.41 ± 2.44 / 47.27 ± 1.92,-2.57 ± 5.79 / 60.00 ± 3.11,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16 (val)</a>,🧠,2.64,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,67.10 ± 3.31 / 82.11 ± 1.71,52.12 ± 0.81 / 40.50 ± 1.40,9.45 ± 3.38 / 37.83 ± 1.84,67.73 ± 0.43 / 44.19 ± 0.94,27.67 ± 0.42 / 28.66 ± 0.44,33.16 ± 1.45 / 49.49 ± 1.13,8.96 ± 2.93 / 58.13 ± 1.45,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (val)</a>,📝,2.66,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,63.59 ± 4.32 / 77.87 ± 3.27,54.23 ± 1.57 / 37.43 ± 2.00,16.79 ± 4.19 / 54.92 ± 3.63,65.40 ± 1.53 / 41.58 ± 2.18,31.64 ± 0.23 / 32.79 ± 0.27,26.52 ± 2.86 / 45.16 ± 2.17,0.09 ± 6.06 / 61.09 ± 2.84,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,2.68,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,60.69 ± 4.01 / 79.22 ± 2.24,49.85 ± 1.99 / 36.60 ± 1.99,26.04 ± 2.62 / 60.65 ± 1.49,63.34 ± 0.96 / 39.99 ± 1.94,30.52 ± 0.43 / 31.51 ± 0.47,22.33 ± 2.22 / 41.25 ± 1.70,4.39 ± 4.00 / 46.95 ± 2.93,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,2.68,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,72.25 ± 4.82 / 85.27 ± 2.36,42.54 ± 1.94 / 31.90 ± 2.74,21.58 ± 5.68 / 56.14 ± 5.55,65.30 ± 2.43 / 45.34 ± 1.91,29.62 ± 0.41 / 30.58 ± 0.43,24.10 ± 1.28 / 40.81 ± 1.08,3.83 ± 1.69 / 51.18 ± 0.94,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.69,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,63.37 ± 5.61 / 81.02 ± 3.63,30.93 ± 1.53 / 25.71 ± 1.20,24.61 ± 2.72 / 62.14 ± 1.39,58.53 ± 1.19 / 38.69 ± 1.25,20.01 ± 0.95 / 21.65 ± 1.02,58.53 ± 5.20 / 68.24 ± 3.89,22.28 ± 2.54 / 60.83 ± 1.26,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.15.0.dev0,16.12.0.dev0,16.12.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,2.71,9152319488.0,128000.0,4096.0,✗,✗,(✓),✓,74.95 ± 1.44 / 86.26 ± 0.96,49.91 ± 1.54 / 36.44 ± 1.21,15.93 ± 2.81 / 40.82 ± 2.81,26.18 ± 1.31 / 0.00 ± 0.00,31.92 ± 0.34 / 33.07 ± 0.36,27.21 ± 0.77 / 44.50 ± 0.60,18.94 ± 1.74 / 59.40 ± 0.80,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.72,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,67.81 ± 3.15 / 81.21 ± 2.32,57.73 ± 1.84 / 43.68 ± 1.72,15.28 ± 4.11 / 38.91 ± 3.06,38.27 ± 0.80 / 3.21 ± 0.88,30.19 ± 0.42 / 30.87 ± 0.51,32.37 ± 1.04 / 48.86 ± 0.78,10.45 ± 2.05 / 55.01 ± 0.91,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.75,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,73.73 ± 7.87 / 86.01 ± 4.64,40.62 ± 3.02 / 30.37 ± 3.01,9.99 ± 2.76 / 37.14 ± 1.90,67.99 ± 2.18 / 45.50 ± 2.81,27.68 ± 0.87 / 28.23 ± 0.97,28.25 ± 1.47 / 45.72 ± 1.12,5.03 ± 2.13 / 52.56 ± 1.06,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,2.77,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,71.97 ± 1.15 / 85.78 ± 0.61,49.71 ± 1.30 / 32.90 ± 1.44,28.19 ± 3.13 / 62.61 ± 2.34,38.72 ± 0.97 / 2.55 ± 0.65,22.71 ± 0.22 / 22.65 ± 0.22,30.39 ± 0.68 / 47.41 ± 0.55,14.54 ± 2.21 / 57.25 ± 1.14,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,2.79,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,63.38 ± 1.91 / 79.63 ± 1.44,56.35 ± 0.86 / 47.08 ± 1.46,19.03 ± 1.80 / 54.27 ± 1.58,57.78 ± 0.48 / 37.24 ± 0.55,24.95 ± 0.22 / 25.14 ± 0.23,16.02 ± 1.71 / 36.21 ± 1.34,7.50 ± 3.25 / 55.23 ± 1.68,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.79,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,68.03 ± 3.34 / 82.08 ± 2.43,56.31 ± 2.19 / 42.34 ± 3.45,15.80 ± 1.79 / 41.51 ± 1.42,66.13 ± 1.84 / 41.75 ± 3.18,21.30 ± 0.31 / 21.20 ± 0.31,20.47 ± 1.35 / 39.66 ± 1.11,5.93 ± 2.00 / 52.97 ± 0.92,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.80,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,68.32 ± 2.01 / 82.96 ± 1.34,48.84 ± 1.80 / 36.22 ± 2.68,23.10 ± 2.70 / 53.82 ± 2.43,61.21 ± 1.66 / 32.57 ± 2.80,22.07 ± 0.17 / 22.00 ± 0.17,21.14 ± 0.98 / 40.33 ± 0.70,7.36 ± 1.56 / 53.75 ± 0.77,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.81,32233522176.0,100278.0,65536.0,✓,✗,(✓),✓,71.73 ± 4.57 / 85.51 ± 2.39,54.60 ± 1.69 / 42.93 ± 2.68,9.03 ± 5.32 / 44.48 ± 5.71,68.12 ± 1.31 / 43.84 ± 2.31,21.77 ± 0.50 / 21.69 ± 0.50,20.93 ± 1.16 / 40.44 ± 0.95,5.95 ± 1.78 / 52.38 ± 1.13,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/CohereLabs/tiny-aya-base'>CohereLabs/tiny-aya-base (val)</a>,🧠,2.83,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,73.16 ± 4.03 / 85.90 ± 2.20,35.56 ± 3.57 / 29.16 ± 3.98,-1.25 ± 3.23 / 33.89 ± 0.98,73.40 ± 1.79 / 54.09 ± 1.58,31.27 ± 0.27 / 32.23 ± 0.32,24.36 ± 2.53 / 42.97 ± 1.90,1.79 ± 6.11 / 45.86 ± 3.54,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/Qwen/Qwen3.5-2B-Base'>Qwen/Qwen3.5-2B-Base (val)</a>,🧠,2.83,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,62.64 ± 2.08 / 80.63 ± 1.16,51.54 ± 0.89 / 38.18 ± 0.87,14.90 ± 3.47 / 48.92 ± 3.15,68.96 ± 0.62 / 45.58 ± 1.41,24.54 ± 0.51 / 25.27 ± 0.53,23.14 ± 1.50 / 40.82 ± 1.07,-0.78 ± 3.56 / 55.08 ± 2.57,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.84,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,66.25 ± 1.86 / 81.45 ± 1.37,49.95 ± 1.81 / 37.25 ± 2.29,21.05 ± 2.47 / 53.73 ± 2.38,62.14 ± 1.35 / 36.54 ± 1.82,21.88 ± 0.18 / 21.81 ± 0.18,19.97 ± 0.71 / 39.62 ± 0.50,5.60 ± 2.13 / 52.82 ± 1.04,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,2.86,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,37.21 ± 5.02 / 68.02 ± 2.56,58.92 ± 1.15 / 47.10 ± 1.17,23.30 ± 1.73 / 61.10 ± 0.81,42.57 ± 1.05 / 26.43 ± 1.16,15.84 ± 0.77 / 17.99 ± 0.88,51.84 ± 1.75 / 63.67 ± 1.25,23.73 ± 3.88 / 62.73 ± 1.90,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,2.91,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,77.78 ± 3.40 / 88.35 ± 1.70,28.10 ± 0.91 / 17.62 ± 0.38,18.34 ± 2.76 / 51.43 ± 3.17,55.60 ± 2.79 / 37.57 ± 2.19,29.76 ± 0.81 / 30.74 ± 0.89,15.34 ± 1.22 / 35.09 ± 0.99,2.18 ± 2.07 / 49.78 ± 1.05,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,2.93,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,57.57 ± 2.23 / 73.72 ± 1.86,46.17 ± 1.50 / 33.12 ± 1.68,16.68 ± 2.29 / 55.31 ± 2.62,53.85 ± 1.15 / 33.06 ± 1.98,27.61 ± 0.63 / 28.05 ± 0.72,11.42 ± 0.71 / 33.78 ± 0.50,5.62 ± 2.40 / 52.70 ± 1.11,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking</a>,📝,2.98,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,61.95 ± 2.45 / 77.36 ± 1.78,40.40 ± 1.36 / 29.69 ± 1.32,20.31 ± 2.45 / 53.68 ± 3.13,24.09 ± 0.84 / 0.32 ± 0.09,30.90 ± 0.23 / 31.90 ± 0.25,22.15 ± 1.25 / 41.75 ± 0.92,8.17 ± 2.47 / 53.23 ± 1.18,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,3.01,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,64.09 ± 2.23 / 81.33 ± 0.97,37.52 ± 1.61 / 28.49 ± 1.33,21.40 ± 3.62 / 56.94 ± 3.31,57.07 ± 1.66 / 36.85 ± 2.20,22.11 ± 0.12 / 22.05 ± 0.12,13.39 ± 0.97 / 35.80 ± 0.71,3.80 ± 2.51 / 51.69 ± 1.22,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,3.03,3606752256.0,128256.0,131072.0,✓,✗,(✓),✗,67.42 ± 5.13 / 81.44 ± 3.78,46.56 ± 1.45 / 34.96 ± 0.97,18.59 ± 2.57 / 51.04 ± 4.85,14.13 ± 0.70 / 0.00 ± 0.00,29.61 ± 0.32 / 30.35 ± 0.39,14.95 ± 1.63 / 35.73 ± 1.13,3.59 ± 2.58 / 51.07 ± 1.50,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,3.07,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,64.32 ± 1.86 / 82.06 ± 0.92,32.38 ± 2.12 / 25.49 ± 1.88,19.61 ± 2.29 / 47.47 ± 1.48,35.46 ± 2.19 / 19.45 ± 1.25,5.66 ± 0.41 / 5.92 ± 0.43,53.17 ± 1.70 / 64.14 ± 1.24,30.87 ± 2.24 / 66.72 ± 1.26,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (val)</a>,📝,3.12,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,37.90 ± 2.07 / 56.32 ± 1.93,42.77 ± 1.38 / 33.52 ± 1.15,14.78 ± 2.38 / 51.38 ± 1.92,51.11 ± 0.35 / 34.41 ± 0.45,29.80 ± 0.20 / 30.77 ± 0.22,9.06 ± 0.92 / 31.29 ± 0.76,0.00 ± 0.00 / 36.72 ± 1.13,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think (val)</a>,🤔,3.13,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,46.40 ± 2.45 / 72.57 ± 1.29,47.63 ± 2.36 / 30.36 ± 1.64,19.00 ± 2.18 / 54.70 ± 1.31,37.21 ± 1.17 / 20.28 ± 1.52,16.57 ± 1.11 / 18.18 ± 1.27,22.55 ± 2.58 / 39.26 ± 1.85,14.57 ± 4.26 / 59.69 ± 2.04,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-0.8B-Base'>Qwen/Qwen3.5-0.8B-Base (val)</a>,🧠,3.17,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,52.77 ± 2.41 / 72.38 ± 1.82,35.02 ± 2.03 / 29.97 ± 1.51,1.68 ± 1.95 / 40.43 ± 2.42,58.74 ± 1.40 / 43.34 ± 1.53,23.83 ± 0.40 / 24.60 ± 0.42,10.67 ± 1.34 / 31.02 ± 1.05,6.35 ± 3.21 / 55.70 ± 2.45,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.21,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,76.02 ± 3.09 / 87.39 ± 1.51,28.62 ± 1.08 / 19.33 ± 0.78,8.99 ± 3.18 / 51.16 ± 1.93,18.02 ± 0.65 / 0.00 ± 0.00,24.09 ± 0.53 / 24.94 ± 0.61,17.22 ± 1.05 / 36.05 ± 0.82,9.82 ± 2.31 / 54.17 ± 1.05,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B (val)</a>,📝,3.24,2614341888.0,256000.0,8192.0,✗,✗,(✓),✗,38.39 ± 10.59 / 62.61 ± 7.08,34.63 ± 1.44 / 28.68 ± 0.94,10.98 ± 5.41 / 46.85 ± 4.84,48.97 ± 2.45 / 29.64 ± 2.34,28.66 ± 0.20 / 29.61 ± 0.21,6.63 ± 2.92 / 29.45 ± 2.37,-2.23 ± 7.91 / 54.92 ± 3.60,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.30,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,67.19 ± 5.54 / 82.71 ± 3.18,25.19 ± 1.76 / 19.59 ± 1.45,-0.88 ± 2.81 / 40.32 ± 3.45,47.12 ± 1.44 / 30.04 ± 1.82,25.71 ± 1.27 / 26.23 ± 1.38,0.29 ± 1.12 / 25.10 ± 0.76,0.00 ± 0.00 / 49.12 ± 0.75,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/google/gemma-4-E4B'>google/gemma-4-E4B (val)</a>,🧠,3.32,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,42.54 ± 4.60 / 69.97 ± 2.57,33.38 ± 1.54 / 27.27 ± 1.62,4.42 ± 3.80 / 49.91 ± 1.91,60.35 ± 1.68 / 36.45 ± 2.39,19.73 ± 0.76 / 20.17 ± 0.83,7.24 ± 1.76 / 30.51 ± 1.44,4.74 ± 4.73 / 56.02 ± 2.96,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.32,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,53.95 ± 7.27 / 71.08 ± 7.00,37.29 ± 1.38 / 28.51 ± 1.31,9.06 ± 5.04 / 45.34 ± 6.32,16.33 ± 0.52 / 0.07 ± 0.09,28.10 ± 0.10 / 28.93 ± 0.10,4.93 ± 1.56 / 28.12 ± 1.20,1.26 ± 1.55 / 50.79 ± 0.78,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.38,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,59.67 ± 9.00 / 78.56 ± 4.39,32.84 ± 2.44 / 23.57 ± 1.86,2.50 ± 3.00 / 43.34 ± 4.25,38.95 ± 1.92 / 22.35 ± 3.40,21.17 ± 1.37 / 21.76 ± 1.47,-1.07 ± 1.31 / 24.32 ± 0.85,3.17 ± 1.83 / 50.35 ± 0.96,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,3.46,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,40.78 ± 3.60 / 69.43 ± 1.77,31.54 ± 2.07 / 28.45 ± 1.52,6.89 ± 3.35 / 43.12 ± 3.53,43.42 ± 1.42 / 22.15 ± 2.11,20.88 ± 0.18 / 20.80 ± 0.18,4.80 ± 0.95 / 27.97 ± 0.77,0.30 ± 1.73 / 50.65 ± 0.82,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,3.47,7298011136.0,100278.0,65536.0,✓,✗,(✓),✓,46.83 ± 11.25 / 71.10 ± 6.97,28.64 ± 4.32 / 24.85 ± 2.33,0.27 ± 3.41 / 35.91 ± 1.78,48.33 ± 1.52 / 32.48 ± 1.52,17.41 ± 0.53 / 17.34 ± 0.53,10.48 ± 1.29 / 31.19 ± 1.10,1.28 ± 2.62 / 50.06 ± 1.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,3.48,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,40.17 ± 3.05 / 69.31 ± 1.59,30.36 ± 2.29 / 27.42 ± 1.67,2.91 ± 3.42 / 34.65 ± 0.98,40.31 ± 1.55 / 19.82 ± 1.75,19.28 ± 0.54 / 19.19 ± 0.54,3.19 ± 1.19 / 26.64 ± 0.90,2.69 ± 2.78 / 51.67 ± 1.23,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,3.49,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,43.38 ± 2.80 / 70.50 ± 1.74,30.54 ± 1.88 / 26.58 ± 1.27,3.21 ± 2.69 / 42.37 ± 3.10,40.08 ± 1.65 / 15.84 ± 2.24,20.74 ± 0.20 / 20.67 ± 0.20,5.41 ± 1.46 / 28.40 ± 1.11,-1.53 ± 2.74 / 49.75 ± 1.36,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct (val)</a>,🤔,3.52,4221757440.0,120818.0,262144.0,✓,✗,(✓),✓,28.06 ± 2.97 / 63.38 ± 1.56,54.58 ± 1.23 / 39.78 ± 1.00,2.48 ± 3.92 / 49.81 ± 1.86,28.64 ± 0.86 / 0.00 ± 0.00,21.48 ± 0.77 / 23.43 ± 0.82,0.00 ± 0.00 / 23.67 ± 0.68,0.00 ± 0.00 / 63.28 ± 1.13,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
